,Age,DailyRate,Education,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MonthlyRupiah,BonusScore,FinalBonus
18,53,1219,4,78,2,4,4,15427,0,3,31,3,25,8,3,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,19111744,236.38462826262557,36467
19,38,371,3,45,3,1,4,3944,1,3,6,3,3,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4886026,160.01014658019776,6310
20,24,673,2,96,4,2,3,4011,0,3,5,5,4,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4969029,162.89137631285055,6533
21,36,1218,4,82,2,1,1,3407,0,4,10,4,5,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4220763,145.69441508185753,4963
22,34,419,4,53,3,3,2,11994,0,3,13,4,12,6,2,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14858771,196.52123747963424,23570
23,21,391,2,96,3,1,4,1232,0,3,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1526264,133.72736908660923,1647
24,34,699,1,83,3,1,1,2960,0,3,8,2,4,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3666997,145.05651594380487,4293
25,53,1282,3,58,3,5,3,19094,0,3,26,3,14,13,4,8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,23654609,224.70577345376248,42905
26,32,1125,1,72,1,1,1,3919,1,4,10,5,10,2,6,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4855055,180.70213244940362,7081
27,42,691,4,48,3,2,2,6825,0,3,10,2,9,7,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8455154,173.06978149436753,11812
28,44,477,4,42,2,3,4,10248,0,3,24,4,22,6,5,17,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12695738,214.60747876881882,21992
29,46,705,4,83,3,5,1,18947,0,3,22,2,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23472498,200.1630727774289,37924
30,33,924,3,78,3,1,4,2496,0,3,7,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3092170,137.26955980942088,3426
31,44,1459,4,41,3,2,4,6465,1,3,9,5,4,2,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8009167,165.52267611655864,10701
32,30,125,2,83,2,1,3,2206,0,3,10,5,10,0,1,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2732904,138.21859985287992,3049
33,39,895,3,56,3,2,4,2086,0,3,19,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2584242,152.8727120022449,3188
34,24,813,3,61,3,1,4,2293,1,3,6,2,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2840684,141.7619325485452,3250
35,43,1273,2,72,4,1,3,2645,0,3,6,3,5,3,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3276759,148.30996301935218,3922
36,50,869,2,86,2,1,3,2683,1,3,3,2,3,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3323835,150.75402582742183,4044
37,35,890,3,97,3,1,4,2014,0,3,2,3,2,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2495045,148.75689218624711,2995
38,36,852,4,82,2,1,1,3419,1,3,6,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4235629,144.34353389354456,4935
39,33,1141,3,42,4,2,1,5376,0,3,10,3,5,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6660059,164.5023817499877,8843
40,35,464,2,75,3,1,4,1951,0,3,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2416997,136.9558080209942,2672
41,27,1240,4,33,3,1,1,2341,0,3,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2900149,142.04231578645914,3325
42,26,1357,3,48,1,1,3,2293,0,3,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2840684,120.78838624919733,2769
43,27,994,3,37,3,3,3,8726,0,3,9,0,9,8,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10810208,198.2276123960433,17297
44,30,721,2,58,3,2,4,4011,0,4,12,2,12,8,3,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4969029,213.2392526905053,8553
45,41,1360,3,49,3,5,3,19545,0,3,23,0,22,15,15,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24213330,267.1065714248806,52205
46,34,1065,4,72,3,2,3,4568,0,4,10,2,9,5,8,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5659068,184.94465109563228,8448
47,37,408,2,73,3,1,2,3022,0,4,8,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3743806,150.3519915842042,4543
48,46,1211,4,98,3,2,4,5772,1,4,14,4,9,6,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7150644,200.92102322617478,11597
49,35,1229,1,36,4,1,4,2269,0,3,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2810951,148.39191173888145,3367
50,48,626,2,98,2,3,3,5381,1,3,23,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6666254,176.94236576431658,9521
51,28,1434,4,50,3,1,3,3441,1,3,2,3,2,2,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4262884,150.87530914828784,5191
52,44,1488,5,75,3,2,1,5454,1,4,9,2,4,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6756690,190.42250222746605,10385
53,35,1097,2,79,2,3,1,9884,1,3,10,3,4,0,2,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12244797,180.71745597470994,17862
54,26,1443,3,47,2,2,4,4157,1,3,5,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5149901,158.89064979144223,6605
55,33,515,2,98,3,3,4,13458,1,3,15,1,15,14,8,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16672448,214.99313134891597,28933
56,35,853,5,71,3,3,1,9069,0,4,9,3,9,8,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11235134,211.0175646009446,19137
57,35,1142,4,30,3,1,1,4014,1,3,4,3,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4972745,155.07498826903952,6224
58,31,655,4,48,3,2,4,5915,0,4,10,3,7,7,1,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7327800,182.7414223041392,10809
59,37,1115,4,51,2,2,3,5993,0,3,7,2,7,5,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7424430,169.4392115010734,10154
60,32,427,3,33,3,2,4,6162,1,4,9,3,9,8,7,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7633796,203.66926272470062,12550
61,38,653,5,50,3,2,4,2406,0,3,10,2,10,3,9,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2980674,168.86976455904014,4063
62,50,989,2,43,2,5,3,18740,1,3,29,2,27,3,13,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,23216056,275.0184136799567,51538
63,59,1435,3,99,3,3,1,7637,0,3,28,3,21,16,7,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9461100,218.27796495503952,16669
64,36,1223,3,59,3,3,3,10096,0,3,17,2,17,14,12,8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12507433,202.6417190863852,20458
65,55,836,3,33,3,4,3,14756,1,3,21,2,5,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18280476,202.04118849132044,29813
66,36,1195,3,95,2,2,2,6499,0,3,6,3,6,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8051288,161.764354241071,10513
67,45,1339,3,59,3,3,1,9724,0,3,25,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12046581,177.1966015525378,17230
68,35,664,3,79,3,1,1,2194,0,3,5,2,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2718038,149.75361658417776,3285
69,36,318,3,79,2,1,3,3388,1,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4197225,129.75846213433607,4396
70,59,1225,1,57,2,2,3,5473,0,3,20,2,4,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6780228,153.04733466031615,8376
71,29,1328,3,76,3,1,2,2703,0,4,6,3,5,4,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3348612,163.087617542651,4408
72,31,1082,4,87,3,1,2,2501,0,3,1,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3098365,152.9224284883939,3824
73,32,548,3,66,3,2,2,6220,0,3,10,3,10,4,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7705649,180.46076556772033,11224
74,36,132,3,55,4,1,4,3038,0,3,5,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3763627,140.0609919934619,4255
75,31,746,4,61,3,2,4,4424,0,4,11,2,11,7,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5480674,187.14670566292287,8279
76,35,776,4,32,2,2,1,4312,0,3,16,2,15,13,2,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5341923,176.02368449091603,7590
77,45,193,4,52,3,3,1,13245,1,3,17,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16408573,179.7572806323822,23808
78,37,397,4,30,3,3,3,13664,0,3,16,3,5,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16927651,180.9496629520325,24724
79,46,945,2,80,3,2,2,5021,1,4,16,2,4,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6220268,186.93241916783873,9385
80,30,852,1,55,2,2,4,5126,1,3,10,1,10,8,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6350347,174.87439437586562,8964
81,35,1214,3,30,2,1,3,2859,0,3,6,3,6,4,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3541873,137.7616990742682,3938
82,55,111,2,70,3,3,4,10239,0,3,24,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12684589,178.2920831373747,18255
83,38,573,3,79,1,2,4,5329,1,3,17,3,13,11,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6601833,172.79721573210057,9208
84,34,1153,2,94,3,2,2,4325,0,3,5,2,5,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5358028,156.2579560704576,6758
85,56,1400,3,49,1,3,4,7260,0,3,37,3,6,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8994054,187.23580497006893,13593
86,23,541,1,62,3,1,1,2322,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2876611,131.26247397578328,3047
87,51,432,4,96,3,1,4,2075,0,4,10,4,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2570614,153.7397538597211,3190
88,30,288,3,99,2,2,4,4152,0,3,11,3,11,10,10,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5143707,173.60418310065543,7208
89,46,669,2,64,2,3,4,9619,0,3,9,3,9,8,4,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11916501,193.97850745872353,18658
90,40,530,4,78,2,4,2,13503,0,4,22,3,22,3,11,11,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16728196,250.63373051871363,33843
91,51,632,4,71,3,2,4,5441,1,4,11,2,10,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6740585,195.44966549396685,10634
92,30,1334,2,63,2,2,2,5209,1,3,11,4,11,8,2,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6453171,185.41811675417733,9658
93,46,638,3,40,2,3,1,10673,1,3,21,5,10,9,9,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13222250,186.6919036706331,19925
94,32,1093,4,87,3,2,3,5010,0,3,12,0,11,8,5,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6206640,186.73119094519254,9355
95,54,1217,4,60,3,3,3,13549,0,3,16,5,4,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16785183,190.19661580751065,25769
96,24,1353,2,33,3,2,3,4999,0,4,4,2,3,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6193013,164.19459234349432,8208
97,28,120,3,43,3,2,3,4221,0,3,5,3,5,4,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5229187,171.80346067309432,7251
98,58,682,4,37,3,4,3,13872,0,3,38,1,37,10,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17185332,279.2274204006143,38734
99,44,489,3,67,3,2,2,2042,0,3,17,3,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2529732,161.1163103300965,3289
100,37,807,4,63,3,1,1,2073,1,4,7,3,3,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2568137,183.0593269250005,3794
101,32,827,1,71,3,1,1,2956,0,3,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3662042,144.48316322390204,4270
102,20,871,3,66,2,1,4,2926,1,3,1,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3624876,138.057700246498,4039
103,34,665,4,41,3,2,3,4809,0,3,16,3,16,13,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5957631,184.4436905453553,8869
104,37,1040,2,100,2,2,4,5163,0,3,17,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6396184,152.9784682310333,7898
105,59,1420,4,32,2,5,4,18844,0,4,30,3,3,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23344896,216.8936920275994,40871
106,50,1115,3,73,3,5,2,18172,1,3,28,1,8,3,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22512389,229.33638149853064,41675
107,25,240,3,46,2,2,3,5744,1,3,6,1,6,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7115956,158.13713482501623,9083
108,25,1280,1,64,2,1,4,2889,0,3,2,2,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3579039,138.635100778752,4005
109,22,534,3,59,3,1,4,2871,0,3,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3556739,137.3275999407128,3942
110,51,1456,4,30,2,3,1,7484,0,4,23,1,13,12,12,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9271556,209.76941061050678,15699
111,34,658,3,66,1,2,3,6074,1,4,9,3,9,7,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7524777,185.87261202645732,11289
112,54,142,3,30,4,4,4,17328,1,3,23,3,5,3,4,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21466799,213.70580873859336,37030
113,24,1127,1,52,3,1,3,2774,0,3,6,2,5,3,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3436571,160.83351420363363,4461
114,34,1031,4,45,2,2,2,4505,0,3,12,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5581021,155.07917238802315,6986
115,37,1189,3,87,3,3,4,7428,0,3,12,3,5,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9202180,176.9133464144189,13141
116,34,1354,3,45,2,3,1,11631,0,3,14,6,11,10,5,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14409068,186.89834399968134,21738
117,36,1467,2,92,3,3,4,9738,0,3,10,6,9,7,2,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12063925,196.86701758031853,19170
118,36,922,2,39,3,1,4,2835,0,4,7,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3512141,154.6442728824385,4384
119,43,394,2,92,3,4,4,16959,1,3,25,3,25,12,4,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,21009663,261.69102084415516,44380
120,30,1312,3,96,1,1,3,2613,0,4,10,2,10,7,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3237116,172.31603610915275,4502
121,33,750,2,95,3,2,2,6146,0,3,8,2,7,7,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7613974,162.87866954280375,10010
122,56,441,4,72,3,1,2,4963,1,3,7,2,5,4,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6148414,169.25102051141621,8399
123,51,684,3,51,3,5,3,19537,0,3,23,5,20,18,15,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,24203419,242.02496166242597,47284
124,31,249,4,76,1,2,3,6172,1,3,12,3,7,7,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7646184,156.43828153368258,9655
125,26,841,3,46,2,1,2,2368,0,3,5,3,5,4,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2933598,132.39745038036884,3135
126,58,147,4,94,3,3,4,10312,0,3,40,3,40,10,15,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12775025,255.5275414676294,26350
127,19,528,1,50,3,1,3,1675,1,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2075074,150.09511622247535,2514
128,22,594,1,100,3,1,4,2523,0,3,3,2,2,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3125619,150.75218785189574,3803
129,49,470,4,96,3,2,1,6567,0,3,16,2,15,11,5,11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8135530,186.8147775281046,12268
130,43,957,3,72,4,1,3,4739,0,3,18,2,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5870912,157.53771944997203,7465
131,50,809,3,77,3,3,4,9208,0,3,16,3,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11407334,166.7904944847621,15358
132,31,542,3,71,1,2,3,4559,1,3,4,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5647919,145.8646227314825,6649
133,41,802,1,96,3,3,3,8189,1,3,12,2,9,7,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10144945,195.35798095345496,15997
134,26,1355,1,61,3,1,3,2942,0,4,8,3,8,7,5,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3644698,178.97122385248392,5265
135,36,216,2,84,3,2,2,4941,0,4,7,0,3,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6121160,193.1113769761992,9541
136,51,1150,4,53,1,3,4,10650,0,3,18,2,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13193756,167.05838635204168,17791
137,39,1329,4,47,2,2,3,5902,0,3,17,1,15,11,5,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7311695,180.14801852148832,10632
138,25,959,3,41,2,2,3,8639,0,3,6,3,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10702428,150.77688531614848,13025
139,30,1240,3,48,3,2,4,6347,1,3,12,2,11,9,4,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7862983,189.12300901461404,12003
140,32,1033,3,41,3,1,1,4200,0,4,10,2,5,4,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5203171,154.46253730157116,6487
141,45,1316,3,83,3,1,4,3452,0,3,9,2,6,5,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4276511,144.64661608283973,4993
142,38,364,5,32,3,2,3,4317,1,4,19,2,3,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5348117,178.86614772985024,7721
143,30,438,3,75,3,1,3,2632,0,3,5,4,5,4,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3260654,145.85326674092303,3838
144,32,689,2,35,1,2,4,4668,0,3,9,2,8,7,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5782953,157.6340559244511,7358
145,30,201,3,84,3,1,1,3204,0,3,8,3,3,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3969277,149.39943602533907,4786
146,30,1427,1,35,2,1,4,2720,0,3,6,3,5,3,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3369673,134.10284811644698,3647
147,41,857,3,91,2,4,1,17181,0,3,21,2,7,6,7,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,21284688,197.72923316552777,33971
148,41,933,4,94,3,1,1,2238,0,4,7,2,5,0,1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2772547,167.9344587372444,3758
149,19,1181,1,79,3,1,2,1483,0,3,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1837215,132.2818477852581,1961
150,40,1395,3,54,3,2,2,5605,0,3,20,2,20,7,2,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6943756,203.148948867291,11386
151,35,662,5,94,3,3,2,7295,0,3,10,3,10,8,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9037413,180.6817278628688,13180
152,53,1436,2,34,3,2,3,2306,1,4,13,3,7,7,4,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2856789,207.23358020520405,4778
