Age,DailyRate,Education,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MonthlyRupiah,BonusScore,AnnualBonus
29,153,2,49,2,2,3,4193,1,3,10,3,9,5,0,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5194500,0.4439276387519482,4193.0
31,670,1,31,3,1,3,2911,0,3,5,1,5,2,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3606293,0.3394518985145294,2911.0
34,1346,2,93,3,1,4,2661,0,3,3,2,2,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3296581,0.3394518985145294,2661.0
28,103,3,50,2,1,3,2028,1,3,6,4,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2512389,0.40798952844996017,2028.0
29,1389,4,51,4,3,1,9980,0,3,10,1,10,9,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12363726,0.6517736652681937,16484.701179376574
32,334,2,80,4,1,2,3298,1,3,7,5,6,2,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4085728,0.6208748681117552,3696.6453150325683
22,1123,2,96,4,1,4,2935,1,3,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3636026,0.487253267292564,2935.0
53,1219,4,78,2,4,4,15427,0,3,31,3,25,8,3,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,19111744,0.5281213551925378,35361.49221983292
38,371,3,45,3,1,4,3944,1,3,6,3,3,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4886026,0.423766113481287,3944.0
24,673,2,96,4,2,3,4011,0,3,5,5,4,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4969029,0.5430087154853241,4183.507957811636
36,1218,4,82,2,1,1,3407,0,4,10,4,5,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4220763,0.3394518985145294,3407.0
34,419,4,53,3,3,2,11994,0,3,13,4,12,6,2,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14858771,0.5151205785502524,18172.35621913173
21,391,2,96,3,1,4,1232,0,3,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1526264,0.2208433376660076,888.0789920045214
34,699,1,83,3,1,1,2960,0,3,8,2,4,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3666997,0.38642825606855946,2960.0
53,1282,3,58,3,5,3,19094,0,3,26,3,14,13,4,8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,23654609,0.6656053744819624,63606.13804071719
32,1125,1,72,1,1,1,3919,1,4,10,5,10,2,6,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4855055,0.3577155363238561,3919.0
42,691,4,48,3,2,2,6825,0,3,10,2,9,7,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8455154,0.46523340188719,6825.0
44,477,4,42,2,3,4,10248,0,3,24,4,22,6,5,17,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12695738,0.559385411281147,15980.581694809196
46,705,4,83,3,5,1,18947,0,3,22,2,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23472498,0.5345026838465216,58148.444701680084
33,924,3,78,3,1,4,2496,0,3,7,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3092170,0.3394518985145294,2496.0
44,1459,4,41,3,2,4,6465,1,3,9,5,4,2,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8009167,0.5675291374051165,6901.575873324078
30,125,2,83,2,1,3,2206,0,3,10,5,10,0,1,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2732904,0.3394518985145294,2206.0
39,895,3,56,3,2,4,2086,0,3,19,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2584242,0.3784155658052649,2086.0
24,813,3,61,3,1,4,2293,1,3,6,2,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2840684,0.3516622686269747,2293.0
43,1273,2,72,4,1,3,2645,0,3,6,3,5,3,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3276759,0.48219597074478915,2645.0
50,869,2,86,2,1,3,2683,1,3,3,2,3,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3323835,0.3394518985145294,2683.0
35,890,3,97,3,1,4,2014,0,3,2,3,2,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2495045,0.3394518985145294,2014.0
36,852,4,82,2,1,1,3419,1,3,6,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4235629,0.3394518985145294,3419.0
33,1141,3,42,4,2,1,5376,0,3,10,3,5,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6660059,0.47667970101485657,5376.0
35,464,2,75,3,1,4,1951,0,3,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2416997,0.3394518985145294,1951.0
27,1240,4,33,3,1,1,2341,0,3,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2900149,0.3394518985145294,2341.0
26,1357,3,48,1,1,3,2293,0,3,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2840684,0.3394518985145294,2293.0
27,994,3,37,3,3,3,8726,0,3,9,0,9,8,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10810208,0.5273329174570175,13327.507037729934
30,721,2,58,3,2,4,4011,0,4,12,2,12,8,3,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4969029,0.7182981230483506,4886.593771546934
41,1360,3,49,3,5,3,19545,0,3,23,0,22,15,15,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24213330,0.6523829723991498,64591.65039108277
34,1065,4,72,3,2,3,4568,0,4,10,2,9,5,8,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5659068,0.6238741214667346,5133.856986860044
37,408,2,73,3,1,2,3022,0,4,8,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3743806,0.4412307216992377,3022.0
46,1211,4,98,3,2,4,5772,1,4,14,4,9,6,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7150644,0.6668900030810189,6735.289097783641
35,1229,1,36,4,1,4,2269,0,3,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2810951,0.45098394860867996,2269.0
48,626,2,98,2,3,3,5381,1,3,23,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6666254,0.34080079945944175,7214.849101891256
28,1434,4,50,3,1,3,3441,1,3,2,3,2,2,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4262884,0.5385577984198592,3573.677384362735
44,1488,5,75,3,2,1,5454,1,4,9,2,4,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6756690,0.7113588038138695,6606.750916000844
35,1097,2,79,2,3,1,9884,1,3,10,3,4,0,2,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12244797,0.5006129577142807,14832.05847404795
26,1443,3,47,2,2,4,4157,1,3,5,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5149901,0.3887000756976532,4157.0
33,515,2,98,3,3,4,13458,1,3,15,1,15,14,8,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16672448,0.7894201146312992,24082.015902708026
35,853,5,71,3,3,1,9069,0,4,9,3,9,8,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11235134,0.7699306286318682,16051.500871062413
35,1142,4,30,3,1,1,4014,1,3,4,3,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4972745,0.37354059160534536,4014.0
31,655,4,48,3,2,4,5915,0,4,10,3,7,7,1,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7327800,0.5974259414668007,6491.274443776127
37,1115,4,51,2,2,3,5993,0,3,7,2,7,5,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7424430,0.35342247929141135,5993.0
32,427,3,33,3,2,4,6162,1,4,9,3,9,8,7,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7633796,0.7004095267532237,7396.923503853365
38,653,5,50,3,2,4,2406,0,3,10,2,10,3,9,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2980674,0.4988103064750272,2406.0
50,989,2,43,2,5,3,18740,1,3,29,2,27,3,13,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,23216056,0.7654821993722812,66170.2728324731
59,1435,3,99,3,3,1,7637,0,3,28,3,21,16,7,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9461100,0.6828342360660987,12851.805060836798
36,1223,3,59,3,3,3,10096,0,3,17,2,17,14,12,8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12507433,0.5895409441172584,16048.005371807842
55,836,3,33,3,4,3,14756,1,3,21,2,5,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18280476,0.5853033693398918,35089.104776969165
36,1195,3,95,2,2,2,6499,0,3,6,3,6,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8051288,0.3394518985145294,6499.0
45,1339,3,59,3,3,1,9724,0,3,25,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12046581,0.392651733733973,13542.145458829153
35,664,3,79,3,1,1,2194,0,3,5,2,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2718038,0.3394518985145294,2194.0
36,318,3,79,2,1,3,3388,1,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4197225,0.37580700179504367,3388.0
59,1225,1,57,2,2,3,5473,0,3,20,2,4,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6780228,0.3394518985145294,5473.0
29,1328,3,76,3,1,2,2703,0,4,6,3,5,4,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3348612,0.44870085182601605,2703.0
31,1082,4,87,3,1,2,2501,0,3,1,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3098365,0.3394518985145294,2501.0
32,548,3,66,3,2,2,6220,0,3,10,3,10,4,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7705649,0.4091830016567092,6220.0
36,132,3,55,4,1,4,3038,0,3,5,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3763627,0.44498087790065033,3038.0
31,746,4,61,3,2,4,4424,0,4,11,2,11,7,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5480674,0.6107165678252203,4913.810096058774
35,776,4,32,2,2,1,4312,0,3,16,2,15,13,2,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5341923,0.43726815304198596,4312.0
45,193,4,52,3,3,1,13245,1,3,17,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16408573,0.5629772772107543,20701.634036656444
37,397,4,30,3,3,3,13664,0,3,16,3,5,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16927651,0.46029880151500424,19953.522823901018
46,945,2,80,3,2,2,5021,1,4,16,2,4,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6220268,0.6849545901509678,5949.65699714801
30,852,1,55,2,2,4,5126,1,3,10,1,10,8,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6350347,0.4877133996675548,5126.0
35,1214,3,30,2,1,3,2859,0,3,6,3,6,4,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3541873,0.3394518985145294,2859.0
55,111,2,70,3,3,4,10239,0,3,24,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12684589,0.4587202095677325,14935.836225764013
38,573,3,79,1,2,4,5329,1,3,17,3,13,11,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6601833,0.3789257454380658,5329.0
34,1153,2,94,3,2,2,4325,0,3,5,2,5,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5358028,0.3845561654035897,4325.0
56,1400,3,49,1,3,4,7260,0,3,37,3,6,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8994054,0.3394518985145294,9724.420783215483
23,541,1,62,3,1,1,2322,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2876611,0.2773779735420576,1805.0716545646578
51,432,4,96,3,1,4,2075,0,4,10,4,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2570614,0.5101884237197526,2096.1409792184863
30,288,3,99,2,2,4,4152,0,3,11,3,11,10,10,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5143707,0.34935797527484314,4152.0
46,669,2,64,2,3,4,9619,0,3,9,3,9,8,4,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11916501,0.350211222190411,12987.681746249564
40,530,4,78,2,4,2,13503,0,4,22,3,22,3,11,11,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16728196,0.6634460918510775,33692.26886739765
51,632,4,71,3,2,4,5441,1,4,11,2,10,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6740585,0.7289370385717185,6686.64642686872
30,1334,2,63,2,2,2,5209,1,3,11,4,11,8,2,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6453171,0.3394518985145294,5209.0
46,638,3,40,2,3,1,10673,1,3,21,5,10,9,9,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13222250,0.4856905985027782,15856.77575782015
32,1093,4,87,3,2,3,5010,0,3,12,0,11,8,5,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6206640,0.4767054930721858,5010.0
54,1217,4,60,3,3,3,13549,0,3,16,5,4,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16785183,0.49978528801573796,20320.590867325234
24,1353,2,33,3,2,3,4999,0,4,4,2,3,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6193013,0.59594500279317,5478.629068963057
28,120,3,43,3,2,3,4221,0,3,5,3,5,4,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5229187,0.4315096322097014,4221.0
58,682,4,37,3,4,3,13872,0,3,38,1,37,10,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17185332,0.7165099707713488,35717.139471810224
44,489,3,67,3,2,2,2042,0,3,17,3,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2529732,0.3415334449958801,2042.0
37,807,4,63,3,1,1,2073,1,4,7,3,3,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2568137,0.5353255101616127,2146.2297825650235
32,827,1,71,3,1,1,2956,0,3,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3662042,0.3394518985145294,2956.0
20,871,3,66,2,1,4,2926,1,3,1,5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3624876,0.3394518985145294,2926.0
34,665,4,41,3,2,3,4809,0,3,16,3,16,13,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5957631,0.6039470410184852,5308.881320257896
37,1040,2,100,2,2,4,5163,0,3,17,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6396184,0.3394518985145294,5163.0
59,1420,4,32,2,5,4,18844,0,4,30,3,3,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23344896,0.47538200657140905,55604.19706366326
50,1115,3,73,3,5,2,18172,1,3,28,1,8,3,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22512389,0.7245249864823616,62676.136108714956
25,240,3,46,2,2,3,5744,1,3,6,1,6,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7115956,0.3418365580130198,5744.0
25,1280,1,64,2,1,4,2889,0,3,2,2,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3579039,0.3394518985145294,2889.0
22,534,3,59,3,1,4,2871,0,3,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3556739,0.2714391115607241,2214.801689290839
51,1456,4,30,2,3,1,7484,0,4,23,1,13,12,12,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9271556,0.680766708334316,12578.85804517402
34,658,3,66,1,2,3,6074,1,4,9,3,9,7,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7524777,0.5511628308234536,6384.763034421658
54,142,3,30,4,4,4,17328,1,3,23,3,5,3,4,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21466799,0.729230125915363,44946.14943279211
24,1127,1,52,3,1,3,2774,0,3,6,2,5,3,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3436571,0.3394518985145294,2774.0
34,1031,4,45,2,2,2,4505,0,3,12,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5581021,0.3394518985145294,4505.0
37,1189,3,87,3,3,4,7428,0,3,12,3,5,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9202180,0.4598364737980746,10843.665327372099
34,1354,3,45,2,3,1,11631,0,3,14,6,11,10,5,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14409068,0.38412735393815334,16098.785253654662
36,1467,2,92,3,3,4,9738,0,3,10,6,9,7,2,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12063925,0.4907927816948763,14517.340108144705
36,922,2,39,3,1,4,2835,0,4,7,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3512141,0.4910873426717751,2835.0
43,394,2,92,3,4,4,16959,1,3,25,3,25,12,4,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,21009663,0.7983998024264721,45748.59337402581
30,1312,3,96,1,1,3,2613,0,4,10,2,10,7,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3237116,0.3394518985145294,2613.0
33,750,2,95,3,2,2,6146,0,3,8,2,7,7,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7613974,0.3411905864178839,6146.0
56,441,4,72,3,1,2,4963,1,3,7,2,5,4,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6148414,0.4625551121460344,4963.0
51,684,3,51,3,5,3,19537,0,3,23,5,20,18,15,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,24203419,0.7285049533684061,67539.6025479171
31,249,4,76,1,2,3,6172,1,3,12,3,7,7,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7646184,0.3394518985145294,6172.0
26,841,3,46,2,1,2,2368,0,3,5,3,5,4,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2933598,0.3394518985145294,2368.0
58,147,4,94,3,3,4,10312,0,3,40,3,40,10,15,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12775025,0.6811653806343431,17336.177405101345
19,528,1,50,3,1,3,1675,1,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2075074,0.3743128719120642,1464.4740604527076
22,594,1,100,3,1,4,2523,0,3,3,2,2,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3125619,0.3394518985145294,2523.0
49,470,4,96,3,2,1,6567,0,3,16,2,15,11,5,11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8135530,0.5653039178380698,6995.850828442603
43,957,3,72,4,1,3,4739,0,3,18,2,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5870912,0.4985922035620499,4739.0
50,809,3,77,3,3,4,9208,0,3,16,3,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11407334,0.4552675051136337,13400.103187086339
31,542,3,71,1,2,3,4559,1,3,4,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5647919,0.3394518985145294,4559.0
41,802,1,96,3,3,3,8189,1,3,12,2,9,7,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10144945,0.6825472539818233,13778.37946285715
26,1355,1,61,3,1,3,2942,0,4,8,3,8,7,5,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3644698,0.5719933440023032,3153.8044180547754
36,216,2,84,3,2,2,4941,0,4,7,0,3,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6121160,0.48869055001199757,4941.0
51,1150,4,53,1,3,4,10650,0,3,18,2,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13193756,0.3394518985145294,14265.162719179738
39,1329,4,47,2,2,3,5902,0,3,17,1,15,11,5,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7311695,0.3771215964702762,5902.0
25,959,3,41,2,2,3,8639,0,3,6,3,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10702428,0.3394518985145294,8639.0
30,1240,3,48,3,2,4,6347,1,3,12,2,11,9,4,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7862983,0.630970421757331,7178.269266893779
32,1033,3,41,3,1,1,4200,0,4,10,2,5,4,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5203171,0.5166798712478524,4270.05545924098
45,1316,3,83,3,1,4,3452,0,3,9,2,6,5,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4276511,0.4348912162803531,3452.0
38,364,5,32,3,2,3,4317,1,4,19,2,3,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5348117,0.6673700547770239,5039.536526472411
30,438,3,75,3,1,3,2632,0,3,5,4,5,4,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3260654,0.3394518985145294,2632.0
32,689,2,35,1,2,4,4668,0,3,9,2,8,7,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5782953,0.3394518985145294,4668.0
30,201,3,84,3,1,1,3204,0,3,8,3,3,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3969277,0.3394518985145294,3204.0
30,1427,1,35,2,1,4,2720,0,3,6,3,5,3,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3369673,0.3394518985145294,2720.0
41,857,3,91,2,4,1,17181,0,3,21,2,7,6,7,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,21284688,0.39122551922965787,35853.96846882713
41,933,4,94,3,1,1,2238,0,4,7,2,5,0,1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2772547,0.44133367377904176,2238.0
